0,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000000.png,0,3,3,0.75
1,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000001.png,0,4,4,0.75
2,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000002.png,0,4,4,0.75
3,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000003.png,0,4,4,0.75
4,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000004.png,0,4,4,0.75
5,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000005.png,0,0,0,0.75
6,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000006.png,0,5,5,0.75
7,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000007.png,0,4,4,0.75
8,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000008.png,0,4,4,0.75
9,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000009.png,0,4,4,0.75
10,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000010.png,0,4,4,0.75
11,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000011.png,0,4,4,0.75
12,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000012.png,0,4,4,0.75
13,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000013.png,0,5,5,0.75
14,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000014.png,0,3,3,0.75
15,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000015.png,0,4,4,0.75
16,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000016.png,0,4,4,0.75
17,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000017.png,0,2,2,0.75
18,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000018.png,0,0,0,0.75
19,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000019.png,0,6,6,0.75
20,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000020.png,0,4,4,0.75
21,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000021.png,0,4,4,0.75
22,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000022.png,0,1,1,0.75
23,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000023.png,0,4,4,0.75
24,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000024.png,0,4,4,0.75
25,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000025.png,0,4,4,0.75
26,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000026.png,0,4,4,0.75
27,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000027.png,0,4,4,0.75
28,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000028.png,0,4,4,0.75
29,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000029.png,0,4,4,0.75
30,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000030.png,0,1,1,0.75
31,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000031.png,0,4,4,0.75
32,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000032.png,0,4,4,0.75
33,facebase/data/Adience_256x256_resnet50_imagenet_dldl_v2/images/img0000033.png,0,4,4,0.75
